timestamp,endingPrice,percentage,profit,Bithumb_Trans__Vol,profit(0to0)
2018.3.4,12569000,2.608263109,-17687024,2.03E+11,455402
2018.3.3,12799000,2.963560376,12052822,1.91E+11,1187786
2018.3.2,12441000,2.123142237,-9850277,2.42E+11,1014759
2018.3.1,12186000,2.249897382,842310,1.54E+11,842310
2018.2.28,11822000,2.374220402,21926406,2.10E+11,1182698
2018.2.27,11922000,2.480715346,-6746483,2.31E+11,1898874
2018.2.26,11745000,2.166732133,-10570854,2.53E+11,1527497
2018.2.25,11208000,1.89701844,570258,1.70E+11,570258
2018.2.24,11524000,1.770713078,1013740,2.22E+11,1013740
2018.2.23,12049000,2.109183407,11705392,3.01E+11,2225587
2018.2.22,11725000,2.981843918,-7300157,3.34E+11,974781
2018.2.21,12808000,2.447188324,-274696,4.39E+11,930171
2018.2.20,13516000,1.540460723,1998820,3.90E+11,1998820
2018.2.19,12663000,1.683104168,13935899,2.08E+11,738823
2018.2.18,11961000,1.170557643,-12068675,3.71E+11,1128401
2018.2.17,12360000,0.983648617,1432140,2.79E+11,1432140
2018.2.16,11431000,3.269500052,17687643,1.36E+11,1399283
2018.2.15,11370000,2.583245909,756965,1.96E+11,1476057
2018.2.14,10469000,2.385646071,-13986080,1.29E+11,1560315
2018.2.13,9878000,0,0,95223920000,0
2018.2.12,10137000,0,0,1.19E+11,0
2018.2.11,9302000,0,0,1.23E+11,0
2018.2.10,9928000,0,0,1.66E+11,0
2018.2.9,9970000,0,0,1.45E+11,0
2018.2.8,9473000,0,0,1.46E+11,0
2018.2.7,8366000,0,0,1.36E+11,0
2018.2.6,8584000,0,0,2.10E+11,0
2018.2.5,7807000,0,0,1.20E+11,0
2018.2.4,8967000,0,0,1.06E+11,0
2018.2.3,9538000,0,0,1.11E+11,0
2018.2.2,9415000,0,0,2.23E+11,0
2018.2.1,10061000,0,0,1.26E+11,0
